corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
5420;90.0;ADABE103;D927D5F2;0.03;0.19;0.22;0.01;0.03;5.0;9.0;7.0;38.0;1540.0;32.0;1507.0;1664;1551.0
5419;90.0;C716470C;D927D5F2;0.03;0.19;0.22;0.01;0.03;4.0;9.0;6.0;33.0;600.0;32.0;1507.0;1666;1551.0
5418;90.0;273492F8;D927D5F2;0.02;0.15;0.17;0.01;0.02;3.0;9.0;3.0;9.0;1540.0;32.0;1507.0;1664;1551.0
5417;90.0;F45B4335;D927D5F2;0.02;0.16;0.18;0.01;0.02;2.0;9.0;8.0;53.0;1618.0;32.0;1507.0;1662;1551.0
5416;90.0;714F7912;D927D5F2;0.02;0.15;0.17;0.01;0.02;1.0;9.0;1.0;4.0;844.0;37.0;1507.0;1688;1551.0
5415;90.0;2D88427F;D6BA9D02;0.01;0.4;0.42;0.0;0.02;7.0;7.0;7.0;37.0;1226.0;34.0;1481.0;1631;1526.0
5414;90.0;D0F3CACF;493EAF60;0.01;0.37;0.39;0.0;0.01;6.0;7.0;6.0;32.0;284.0;34.0;1486.0;1637;1531.0
5413;90.0;47F58424;67470249;0.01;0.42;0.48;0.0;0.02;5.0;7.0;3.0;8.0;1229.0;34.0;1486.0;1639;1531.0
5412;90.0;1CB91819;67470249;0.01;0.46;0.52;0.0;0.02;4.0;7.0;8.0;52.0;1317.0;34.0;1486.0;1630;1531.0
5411;90.0;9364342B;67470249;0.01;0.35;0.4;0.0;0.02;3.0;7.0;1.0;3.0;542.0;34.0;1486.0;1659;1531.0
5410;90.0;9201DF15;249A7E68;0.01;0.36;0.39;0.0;0.02;2.0;7.0;7.0;36.0;938.0;41.0;1484.0;1626;1519.0
5409;90.0;85B0EF65;249A7E68;0.02;0.41;0.44;0.0;0.02;1.0;7.0;6.0;31.0;0.0;46.0;1484.0;1659;1519.0
5408;90.0;94DCCC8B;44661CD0;0.02;0.18;0.21;0.01;0.02;6.0;6.0;3.0;7.0;862.0;32.0;1506.0;1662;1551.0
5407;90.0;FEDE7212;44661CD0;0.02;0.19;0.22;0.01;0.02;5.0;6.0;1.0;2.0;227.0;32.0;1506.0;1670;1551.0
5406;90.0;3FEE2033;44661CD0;0.02;0.21;0.24;0.01;0.02;4.0;6.0;8.0;51.0;892.0;32.0;1506.0;1654;1551.0
5405;90.0;F8AE346A;44661CD0;0.02;0.19;0.22;0.01;0.02;3.0;6.0;7.0;35.0;574.0;32.0;1506.0;1658;1551.0
5404;90.0;5BA49929;44661CD0;0.02;0.21;0.24;0.01;0.02;2.0;6.0;3.0;6.0;637.0;32.0;1506.0;1656;1551.0
5403;90.0;72D6E790;44661CD0;0.02;0.16;0.19;0.01;0.02;1.0;6.0;1.0;1.0;0.0;32.0;1506.0;1696;1551.0
5402;90.0;A50CB92C;C1BE9DD8;0.02;0.18;0.21;0.01;0.02;6.0;6.0;2.0;62.0;590.0;34.0;1507.0;1668;1551.0
5401;90.0;0D388B79;7D015357;0.02;0.16;0.18;0.01;0.01;5.0;6.0;8.0;50.0;596.0;46.0;1506.0;1671;1551.0
